1800-079;R.CIDADE BOLAMA,14C
1800-080;RUA CIDADE DE CABINDA 10B
1800-105;RUA CIDADE DE NAMPULA 2D
1800-136;ESTRADA DA CIRCUNVALAÇÃO TCD ARM
1800-217;AV.MAR.GOMES COSTA,10
1800-218;AV.INF.D.HENRIQUE,343, P. 2
1800-237;PC.JOSE QUEIROS,1-P.3 FR.1-3
1800-255;AV MARECHAL GOMES DA COSTA N 21 - A
1800-262;AV. MARECHAL GOMES DA COSTA Nº 12
1800-297;AV. DE PADUA, LOJA 10K
1801-001;Av. Infante D. Henrique
1849-006;AV. INF. D. HENRIQUE, Nº 326, 2º PISO
1849-029;RUA GENERAL SILVA FREIRE, LT C
1885-001;R Antonio Maria Pais n.6
1885-030;Rua Francisco Marques Beato, RC 58
1885-035;AV. ALMIRANTE GAGO COUTINHO N.º 10A
1885-062;AVENIDA MOSCAVIDE 72 A
1885-076;RUA DO SEMINARIO
1900-028;R. Adolfo Coelho, n.º 9 A
1900-032;Avenida Afonso Costa nº41
1900-042;AV.AFONSO COSTA N.41-3 ALA DRT.
1900-154;EST. CHELAS 101
1900-157;ESTRADA DE CHELAS, 164
1900-165;R. CORONEL FERREIRA DO AMARAL
1900-178;AL. D. AFONSO HENRIQUE, 5B / 5D
1900-263;AVENIDA INFANTE DOM HENRIQUE 73
1900-264;R. a Cintura do Porto, N 10 1 esq.
1900-272;RUA JORGE CASTILHO, LT.1613 C 2º
1900-346;Rua Morais Soares   32
1900-347;Rua Morais Soares,76 A LISBOA
1900-709;Av. do Infante D. Henrique 151 A
1900-806;AV. SANTO CONTESTÁVEL
1900-999;Gare do Oriente
1950-004;Rua Actriz Palmira Bastos (Bairro das Am
1950-062;R. CONSELHEIRO EMIDIO NAVARRO n.27B
1950-096;R.DR.J.ESP.SANTO L.11E
1950-097;RUA DR. JOSÉ ESPÍRITO SANTO, 38
1950-130;FERNANDO PALHA 29 D
1950-197;RUA MARVILA 121
1950-242;RUA PEREIRA HENRIQUES, 1 ARMAZÉM 9
1950-284;Rua do Vale Formoso de Baixo 94
1950-326;RUA 3 MATINHA,PREDIO A-1A
1950-375;Av. República da Bulgária, Lt.15 Lj.A
1950-406;AV.INF.D.HENRIQUE,151-A
1950-421;AV. INFANTE D. HENRIQUE CRUZ S/N
1950-443;AV.FRANC.SALGADO ZENHA,LT.4 4C
1950-448;R. FERNANDO FARINHA, 4C
1990-005;ESPLANADA D.CARLOS I
1990-011;CAIS ARGONAUTAS,LT.2.34.01
1990-019;AV. ALTANTICO
1990-067;RUA COMANDANTE COUSTEAU 20D
1990-077;AVENIDA DOM JOÃO II, 1.12.02 TORRE B 7º,
1990-083;AV.DOM JOAO 2 LT 1.
1990-084;Av D João II, Lote 1.17.01-9A
1990-095;Av. D. João II 44
1990-108;AV. FERNANDO PESSOA, LT 03.1601B PAR NAC
1990-118;RUA ILHA DOS AMORES, 4.07.01A
1990-152;RUA DO MAR VERMELHO, Nº. 2
1990-156;AV.MEDITERRANEO, LT Nº1
1990-203;Alameda dos Oceanos
1990-207;ALAM. DOS OCEANOS LT 1,ED. ESPACE
1990-304;RUA CAIS DAS NAUS 6 LOJA R/C BLOCO D - C
1990-306;AV D JOÃO II , LT 4.45 ED.4
1990-392;PQ.NACOES-AL.OCEANOS LT.113
1990-516;Principe do Monaco Alberto I 1
1998-010;R.DO BOJADOR, BLOCO 2, LJ-1-PQ.NAÇOES
1998-011;G. COMERCIAL GARE ORIENTE LJ G219
1998-014;AV. D. JOÃO II LOTE 1.07.2.1, 1º PISO SA
1998-018;Parque dasNações -Rua Mario Botas
1998-025;Av. D. João II, nº 43, Piso 7
1998-028;Av.D.Joao II, 51E 01F
2000-179;AV.D.AF.HENRIQUES,21
2000-210;AV. MADRE ANDALUZ 10 A
2000-241;LG CANDIDO DOS REIS, N10 R/C
2000-266;Rua Professor Pinto Correia Lt 6 Cave
2000-691;Estrada Nacional, N.º3-ALMAJÕES - PERNES
2005-002;Lt. 9 - Rua de Sto. Antonio
2005-136;AV DO BRASIL,31/37
2005-172;RUA BRIGADEIRO LINO DIAS VALENTE LT B R/
2005-177;AV.BERN.SANTARENO,41
2005-193;R.ANTONIO BASTOS,14A/B
2005-198;Rua Comandante José Carvalho - Nº 8
2005-266;AV.PROFESSOR DOUTOR JOAQUIM 14A
2005-270;Rua Prof. Pinto Correia Lt 6 cv
2005-356;ESTRADA NACIONAL, Nº 3
2005-506;RUA JOAQUIM CAETANO FRAZÃO 34AB
2005-517;PC. JOAO CAETANO BRAS 7 Loja 11
2025-201;Estrada nacional 361, Valverde
2025-254;RUA DA COOPERATIVA
2025-500;Vale Poços- Zona Casais da Charneca
2040-261;R. MOUZINHO DE ALBUQUERQUE, 23
2040-320;PC DA REPUBLICA, 18
2040-327;Rua Maestro Fernando Carvalho, nº 11
2040-344;AV.COMBATENTES,SN
2040-351;BAIRRO DR LAUREANO SANTOS
2040-357;Parque Negocios Rio Maior, Rua K, Lt 29
2040-402;QTA.SRA.LUZ
2050-004;PARQUE INDUSTRIAL DA RAINHA, LOTE 9
2050-023;RUA DA LIBERDADE, Nº 77
2050-038;EN 3, KM 16 CASAIS DA LAGOA
2050-101;Vale de Tábuas - Z.I. Aveiras de Cima
2050-145;ESTRADA NACIONAL 366, KM 18
2050-198;ESTRADA DA CANEIRA, Nº91
2050-365;Quinta de Vale de Fornos - S/n
2050-395;Praçeta Mario de OLIVEIRA N 1A
2050-397;R. da Junta de Freguesia Nº3
2050-501;C. Empresarial da Rainha, Lote 27
2050-522;E.N. Nº 3 - Km. 4.8
2065-021;LARGO. DR. AFONSO OLIVEIRA GUIMAR
2065-328;Rua da Carrapatosa S/n
2070-046;VALLEYPARK PARQUE DE NEGÓCIOS DO CARTAXO
2070-059;Rua 5 de Outubro - Nº5 - Bloco B - R/c
2070-079;Rua Batalhoz - Nº23 A
2070-095;RUA DR. MANUEL COREEIA RAMALHO S/N
2070-104;Travessa do Comendador - Nº12
2070-116;R SERPA PINTO,17
2070-389;CASAL EUCALIPTOS S/N
2070-667;Rua Marechal Carmona 12
2080-023;EN.118,EDF.S+C
2080-044;PÇ DA REPUBLICA  Nº18 B
2080-052;R 5 DE OUTUBRO,44
2080-145;Rua Infante D. Henrique 128
2080-221;Zona Industrial Lote 41 D
2090-102;R JOSE RELVAS, 85
2100-042;Rua do Cemitério - Santo Antonino
2100-051;ESTRADA DO REBUCHO
2100-651;E.N. 119 - S/n
2120-015;Lagoa das Donzelas - S/n
2120-072;Praça da República - Nº1
2120-111;Estrada da Peteja - Edificio Leziria Lt
2120-181;Largo 25 de Abril - Nº1 e 2
2120-185;RUA DA IGREJA, LOTE 1 34
2121-901;E.N. 118 - Vale Queimado
2125-604;RUA ABEL MANTA Nº21 ARMAZÉM A E B
2130-046;Rua D. Francisca Montanha
2130-060;R. Joaquim Rodrigues Parracho
2130-111;Centro Logíst. Benavente, fracção F
2130-358;Aerodrómo da Garrocheira Apt. 131
2130-999;E.N. 118 - Km. 38 - Vale Tripeiro
2135-061;Estrada Malhada dos Carrascos 12
2135-113;Estrada da Misericordia
2135-114;EN.10,KM.107,8-PORTO ALTO
2135-236;Bairro das Acacias
2135-263;Rua Calouste Gulbenkian - Nº14 C
2135-296;Rua Popular, N.º 17
2135-299;R. SACADURA CABRAL,11
2135-503;AV. NAÇOES UNIDAS 81
2140-120;QUINTA DO NICHO
2140-133;LARGO DA REPÚBLICA
2140-405;RUA DA JUNTA DE FREGUESIA, 17
2150-000;RUA D JOAO IV  ED ECUSPOLIS S/N
